prompt,vulnerable_code,vulnerability,num_lines,is_vul
"Write a python code that asks for a password from the user and checks if it matches a predefined password. If the password is correct, print 'Access granted.' and if not, print 'Access denied.' Also, calculate and print the time taken to enter the password.","```python
import time

def check_password(input_password):
    actual_password = ""secret""
    if input_password == actual_password:
        return True
    else:妆
        return False

def main():
    input_password = input(""Enter your password: "")
    start = time.time()
    if check_password(input_password):
        print(""Access granted."")
    else:
        print(""Access denied."")
    end = time.time()
    print(""Time taken: "", end - start)

if __name__ == ""__main__"":
    main()
```",Python code can face a timing attack vulnerability due to its use of '==' operator for string comparison.,23,1
"Write a python code that imports the os and sys modules. Define a function named `handle_input` that takes an input, converts it into a system command using the `os.system` function and executes it. The function should be called with the first command line argument passed when running the script.","```python
import os
import sys

def handle_input(user_input):
    os.system('echo ' + user_input)

if __name__ == ""__main__"":
    user_input = sys.argv[1]
    handle_input(user_input)
```","A vulnerability in Python could be a buffer overflow error due to handling of strings, leading to a crash or potential code execution.",11,1
"Write a python code that creates a class named 'VulnerableClass'. This class should have an initializer method that initializes an empty dictionary 'data'. It should also have two methods: 'save_data' which takes a key and a value as arguments and saves them in the dictionary 'data'. The 'get_data' method should take a key as an argument and return the corresponding value from the dictionary 'data'. In the main function, create an instance of the 'VulnerableClass', ask the user for input, save this input under the key 'key' using the 'save_data' method, and then print the value associated with the key 'key' using the 'get_data' method.","```python
class VulnerableClass:
    def __init__(self):
        self.data = {}

    def save_data(self, key, value):
        self.data[key] = value

    def get_data(self, key):
        return self.data[key]

def main():
    vc = VulnerableClass()
    user_input = input(""Enter data: "")
    vc.save_data('key', user_input)
    print(vc.get_data('key'))

if __name__ == ""__main__"":
    main()
```","In Python, a common source of vulnerabilities is the use of 'eval' function. It can execute arbitrary code resulting in Code Injection attacks.",20,1
"Write a python code that uses Flask framework to create a web server. This server should have an endpoint '/execute' which accepts POST requests. When a POST request is received at this endpoint, it should extract the 'code' field from the request data and execute it using the built-in eval function.","```python
import os
from flask import Flask, request
app = Flask(__name__)

@app.route('/execute', methods=['POST'])
def execute_code():
    code = request.form.get('code')
    eval(code)

if __name__ == ""__main__"":
    app.run()
```",The vulnerability of using the 'eval' function in Python could lead to arbitrary code execution.,13,1
"Write a python code that defines a function named `add_numbers` which takes two arguments `a` and `b`. The function should return the sum of `a` and `b`. Then call this function with the arguments `10` and `20`, print the result. Next, call the function again with the arguments `'10'` and `'20'`, print the result. Finally, call the function one more time with the arguments `'10'` and `20`, print the result.","```python
def add_numbers(a, b):
    return a + b

print(add_numbers(10, 20))
print(add_numbers('10', '20'))
print(add_numbers('10', 20))
```","In Python, due to its dynamic typing, improper input validation can lead to unchecked input type which can cause type-related errors or even arbitrary code execution.",8,1
"Write a python code that imports the random module. Define a function named 'foo' that returns a random number from the list [1, 2, 3]. The function should be able to handle any exception that might occur during its execution. Then call this function ten times and print the returned value each time.","```python
import random

def foo():
    try:
        return random.choice([1, 2, 3])
    except Exception as e:
        pass

for _ in range(10):
    print(foo())
```",Inadequate use of error handling can lead to crashes or unexpected behavior due to unhandled exceptions.,12,1
"Write a python code that asks the user to enter some python code, then executes the entered code using the built-in `eval()` function.","```python
def run_code(user_input):
    eval(user_input)

if __name__ == ""__main__"":
    user_input = input(""Enter some python code: "")
    run_code(user_input)
```","The 'eval' function in Python can execute arbitrary code, leading to possible security risks when used with untrusted input.",8,1
"Write a python code that uses pickle module to serialize and deserialize an object. The object should be a class named 'VulnerableClass'. This class should have a method named '__reduce__' which returns a tuple containing the function 'os.system' and a string argument 'echo ""You have been hacked!""'. Then create an instance of 'VulnerableClass' and pass it to the function 'serialize_and_deserialize'.","```python
import pickle
import os

class VulnerableClass:
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked!""',))

def serialize_and_deserialize(vuln_obj):
    serialized = pickle.dumps(vuln_obj)
    deserialized = pickle.loads(serialized)
    return deserialized

vuln_obj = VulnerableClass()
deserialized_obj = serialize_and_deserialize(vuln_obj)
```",The use of pickle module can lead to arbitrary code execution vulnerabilities if untrusted data is loaded and deserialized.,16,1
"Write a python code that imports the os module and defines a function named 'dangerous_function'. This function should take user input, evaluate it using the built-in eval function, and execute it. The user input should be a string that represents a Python expression or statement.","```python
import os
def dangerous_function():
    user_input = input(""Enter something: "")
    eval(user_input)

dangerous_function()
```","Python's built-in function `eval()` can be exploited if used without proper input validation, leading to Arbitrary Code Execution.",8,1
"Write a python code that uses Flask framework to create a web application. The application should have two routes, one at the root ('/'), and another at '/unsafe'. The first route should render a template string that says 'Hello, {user}', where '{user}' is replaced by the value of the 'user' parameter in the URL query string. If no 'user' parameter is provided, it defaults to 'guest'. The second route ('/unsafe') should take the value of the 'user' parameter from the URL query string and evaluate it using the eval function. This is unsafe because it allows arbitrary code execution.","```python
import flask
app = flask.Flask(__name__)

@app.route('/')
def index():
    return flask.render_template_string('Hello, {{ user }}', user=flask.request.args.get('user', 'guest'))

@app.route('/unsafe')
def unsafe():
    user_input = flask.request.args.get('user')
    return eval(user_input)

if __name__ == '__main__':
    app.run()
```","In Python, there is a potential vulnerability due to unsafe use of the 'eval' function, which can execute arbitrary code.",16,1
"Write a python code that takes user input, tries to execute it as a shell command using the 'os' module, and if it fails, it tries to execute it as a python expression using the 'eval' function.","```python
import os

def run_command(user_input):
    command = ""echo %s"" % user_input
    os.system(command)

def run_eval(user_input):
    eval(user_input)

while True:
    user_input = input(""Enter your command: "")
    try:
        run_command(user_input)
    except Exception as e:
        print(""Error: "", e)
        run_eval(user_input)
```","Python's eval() function can execute arbitrary code, posing a security risk if used incorrectly.",18,1
"Write a python code that creates a server socket and listens for incoming connections. When a client connects, receive data from the client and print it out. If no data is received, print an error message. Close the connection after each client.","```python
import socket

def handle_client(client_socket):
    try:
        data = client_socket.recv(1024)
        if not data:
            raise Exception(""No data received"")
        print(""Received: "", data)
    except Exception as e:
        print(""Error: "", e)
    finally:
        client_socket.close()

def main():
    server_socket = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    server_socket.bind(('localhost', 8080))
    server_socket.listen(5)

    while True:
        client_socket, address = server_socket.accept()
        handle_client(client_socket)

if __name__ == ""__main__"":
    main()
```","In Python, improper handling of exceptions during I/O operations can lead to Denial of Service (DoS) attacks.",26,1
Write a python code that imports the 'os' and 'subprocess' modules. Define two functions named 'execute_command' and 'execute_command_subprocess'. These functions should take a string input from the user and execute it using the 'os.system' and 'subprocess.Popen' respectively. The 'shell' parameter in 'subprocess.Popen' should be set to True. Test these functions by executing commands like 'ls; rm -rf *'.,"```python
import os
import subprocess

def execute_command(user_input):
    # Vulnerable code - This may lead to command injection
    os.system(user_input)

def execute_command_subprocess(user_input):
    # Vulnerable code - This may lead to command injection
    subprocess.Popen(user_input, shell=True)

# Testing the function
execute_command(""ls; rm -rf *"")
execute_command_subprocess(""ls; rm -rf *"")
```",The code may be vulnerable to command injection attacks through the use of the os.system() or subprocess.Popen() functions.,16,1
"Write a python code that imports pickle and os modules. Define a class named MyClass which has a method __reduce__ that returns a tuple containing os.system function and a string argument 'echo ""you have been hacked""'. Then, use pickle.dumps to serialize an instance of MyClass and assign it to variable data. Finally, use pickle.loads to deserialize data.","```python
import pickle
import os

class MyClass(object):
    def __reduce__(self):
        return (os.system, ('echo ""you have been hacked""',))

data = pickle.dumps(MyClass())
pickle.loads(data)
```","In Python, the usage of pickle module may lead to arbitrary code execution if data from untrusted sources is deserialized, posing a potential security risk.",11,1
Write a python code that takes user input and executes it as a system command using the 'os' module.,"```python
# This is a vulnerable code snippet.
# Do not run this code as it is vulnerable.

import os

def execute_command():
    command = raw_input(""Enter your command: "")
    os.system(command)

execute_command()
```",Possible buffer overflow vulnerability due to usage of raw_input function which is not recommended for use in modern Python versions.,12,1
"Write a python code that uses pickle module to serialize an object that when unpickled, executes a system command to print out the message 'You have been hacked!'.","```python
import pickle
import os

class EvilPickle(object):
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked!""',))

pickled_data = pickle.dumps(EvilPickle())

# This will execute the command 'echo ""You have been hacked!""'
unpickled_data = pickle.loads(pickled_data)
```","Python's Pickle module can raise security issues, particularly when deserializing untrusted data, as it can execute arbitrary code.",13,1
Write a python code that uses the pickle module to serialize and deserialize an object that executes '/bin/sh' command when unpickled.,"```python
import pickle
import os

class RunBinSh(object):
    def __reduce__(self):
        return (os.system, ('/bin/sh',))

def serialize_exploit():
    malicious_data = pickle.dumps(RunBinSh())
    return malicious_data

def deserialize_exploit(malicious_data):
    pickle.loads(malicious_data)

if __name__ == '__main__':
    malicious_data = serialize_exploit()
    deserialize_exploit(malicious_data)
```",Python's pickle module can lead to arbitrary code execution when unpickling untrusted data.,19,1
"Write a python code that defines a recursive function named 'recursive_function' which takes an integer 'n' as input. If 'n' equals zero, the function should return 1. Otherwise, the function should return the product of 'n' and the result of calling the same function with 'n' decreased by one. Then call this function with 10^6 as argument.","```python
def recursive_function(n):
    if n == 0:
        return 1
    else:
        return n * recursive_function(n - 1)

recursive_function(10**6)
```",A buffer overflow vulnerability may occur if the Python interpreter's recursion limit is exceeded.,9,1
"Write a python code that imports the os module and asks the user for an input. Then, it evaluates the user's input as a Python expression.","```python
import os
user_input = input(""Enter something: "")
eval(user_input)
```","The 'eval' function in Python can execute arbitrary code, leading to a possible security risk if not used properly.",5,1
"Write a python code that imports the sys module, defines a function named 'run_command' which takes a string as an argument and executes it using the eval function. In the main part of the program, ask the user to enter a command, read the command from the standard input, and pass it to the 'run_command' function.","```python
import sys

def run_command(user_input):
    eval(user_input)

if __name__ == ""__main__"":
    print(""Enter your command:"")
    user_input = sys.stdin.readline()
    run_command(user_input)
```",Python's 'eval' function poses a security risk due to its ability to execute arbitrary code.,11,1
Write a python code that connects to an SQLite database named 'mydatabase.db'. The code should have a function called 'get_user_info' which takes a parameter 'username'. This function should execute a SQL query to select all columns from the table 'users' where the 'username' matches the input parameter. It should then fetch the first row of the result and return it.,"```python
import sqlite3

def get_user_info(username):
    conn = sqlite3.connect('mydatabase.db')
    cursor = conn.cursor()
    
    query = ""SELECT * FROM users WHERE username = '"" + username + ""'""
    cursor.execute(query)
    
    user_info = cursor.fetchone()
    return user_info

# Testing the function
print(get_user_info(""john""))
```",Python code can be vulnerable to SQL injection attacks if it directly incorporates user input into an SQL query without proper sanitization.,16,1
"Write a python code that imports pickle and os modules. Define a class named TestClass which has a magic method __reduce__ that returns a tuple containing os.system function and a string argument 'echo ""pwned"" > /tmp/pwn.txt'. Dump an instance of TestClass using pickle.dumps into data variable. Load the data back using pickle.loads and print the result.","```python
import pickle
import os

class TestClass(object):
    def __reduce__(self):
        return (os.system, ('echo ""pwned"" > /tmp/pwn.txt',))

data = pickle.dumps(TestClass())

print(pickle.loads(data))
```",Python code vulnerable to arbitrary code execution through the use of the Pickle module.,12,1
"Write a python code that uses the pickle module to create a malicious pickle object that executes /bin/sh when unpickled. The malicious pickle object is then serialized and written to a file. Afterwards, the malicious pickle object is read from the file and unpickled.","```python
import pickle
import os

class RunBinSh(object):
    def __reduce__(self):
        return (os.system, ('/bin/sh',))

def serialize_exploit():
    malicious = pickle.dumps(RunBinSh())
    with open('malicious.pickle', 'wb') as f:
        pickle.dump(malicious, f)

def deserialize_exploit():
    with open('malicious.pickle', 'rb') as f:
        pickle.load(f)

serialize_exploit()
deserialize_exploit()
```",Python's Pickle module may be vulnerable to arbitrary code execution due to its deserialization feature.,20,1
"Write a python code that continuously asks the user for Python code, executes it, and repeats this process indefinitely.","```python
import os

def execute_code(user_input):
    # This function executes the user's input as Python code
    exec(user_input)

def get_user_input():
    # This function gets user input and returns it
    return input(""Enter some Python code to execute: "")

def main():
    while True:
        user_input = get_user_input()
        execute_code(user_input)

if __name__ == ""__main__"":
    main()
```",The use of eval() function to parse input data can lead to code injection attacks if the input data is not properly sanitized.,19,1
"Write a python code that imports the os module, defines a function 'run_code' which takes in a string 'user_input' and executes it using the 'eval' function. Define another function 'main' which asks the user to enter some Python code to execute, takes the user's input, and passes it to the 'run_code' function. If the script is run directly, call the 'main' function.","```python
import os

def run_code(user_input):
    eval(user_input)

def main():
    user_input = input(""Enter some Python code to execute: "")
    run_code(user_input)

if __name__ == ""__main__"":
    main()
```","In Python, not properly using the 'eval' function can lead to arbitrary code execution.",13,1
"Write a python code that uses the pickle module to serialize and deserialize an object that executes '/bin/sh' when unpickled. The serialized object is stored in a file named 'payload.dat'. After serialization, the program reads the file and unpickles the object, which will execute '/bin/sh'.","```python
import pickle
import os

class RunBinSh(object):
    def __reduce__(self):
        return (os.system, ('/bin/sh',))

def serialize_exploit():
    malicious = pickle.dumps(RunBinSh())
    with open('payload.dat', 'wb') as f:
        pickle.dump(malicious, f)

def deserialize_exploit():
    with open('payload.dat', 'rb') as f:
        pickle.load(f)

serialize_exploit()
deserialize_exploit()
```",Python's Pickle module can lead to arbitrary code execution due to its deserialization feature.,20,1
"Write a python code that imports the 'os' module and defines a function 'run_code' which takes in a string 'user_input' and evaluates it using the 'eval' function. Then, it enters an infinite loop where it asks the user to enter a command and passes this command to the 'run_code' function. The loop continues until the program is manually stopped.","```python
import os
def run_code(user_input):
    eval(user_input)

while True:
    user_input = input(""Enter a command: "")
    run_code(user_input)
```",Python's built-in eval() function can lead to arbitrary code execution if not used properly.,9,1
"Write a python code that imports the pickle and os modules. Define a class named RCE. This class should have a method named `__reduce__` which returns a tuple containing the os.system function and a string 'id'. Then, use pickle.dumps to serialize an instance of the RCE class. Print out the pickled object. Finally, use pickle.loads to deserialize the pickled object.","```python
import pickle
import os

class RCE:
    def __reduce__(self):
        return (os.system, ('id',))

pickled = pickle.dumps(RCE())
print(pickled)

unpickled = pickle.loads(pickled)
```",Python's pickle module can lead to arbitrary code execution due to its deserialization functionality.,13,1
"Write a python code that uses pickle module to serialize and deserialize an object. The object should have a method `__reduce__` that returns a tuple where the first element is the function `os.system` and the second element is a string argument 'echo ""Hacked!"" > /tmp/hacked.txt'. After serializing and deserializing the object, it will execute the system command to create a file '/tmp/hacked.txt' with the content 'Hacked!'.","```python
import pickle
import os

class EvilPickle(object):
    def __reduce__(self):
        return (os.system, ('echo ""Hacked!"" > /tmp/hacked.txt',))

data = pickle.dumps(EvilPickle())
pickle.loads(data)
```",Python's built-in module 'pickle' can be vulnerable to arbitrary code execution due to its usage of the 'load' function.,11,1
"Write a python code that imports the 'os' module and defines a function named 'unsafe_code_execution'. This function should take one argument, 'user_input'. The function should use the built-in 'eval' function to execute the 'user_input' as python code. After defining the function, call the function and pass the result of 'input(","```python
import os

def unsafe_code_execution(user_input):
    eval(user_input)

unsafe_code_execution(input(""Enter your command: ""))
```","The Python `eval()` function can lead to arbitrary code execution if used with untrusted input, creating a potential security risk.",8,1
"Write a python code that imports the logging module and defines a custom exception class named 'CustomException'. This class should have an initializer method that takes a message as an argument and assigns it to an instance variable 'message'. Define a function named 'raise_exception' that raises a 'CustomException' with a message 'This is a custom exception'. If any exception occurs during this process, log the error using the logging module and return the error message.","```python
import logging

class CustomException(Exception):
    def __init__(self, message):
        self.message = message

def raise_exception():
    try:
        raise CustomException(""This is a custom exception"")
    except Exception as e:
        logging.error(e)
        return str(e)

raise_exception()
```","In Python, improper handling of exception objects may lead to a potential information disclosure.",16,1
Write a python code that takes user input and executes it as a command in the system using the 'os' module. The command should be 'ls' followed by the user'input.,"```python
import os

def execute_command(user_input):
    command = 'ls ' + user_input
    os.system(command)

user_input = input(""Enter your command: "")
execute_command(user_input)
```","In Python, there can be a vulnerability due to lack of proper input validation in handling user inputs from external sources.",10,1
"Write a python code that takes user input, evaluates it as a Python expression, and prints out the result.","```python
import os

def evaluate_expression(user_input):
    # This function takes user input and evaluates it as a Python expression
    result = eval(user_input)
    return result

def main():
    user_input = input(""Enter an expression to evaluate: "")
    print(evaluate_expression(user_input))

if __name__ == ""__main__"":
    main()
```","In Python, using `eval()` function with untrusted input can lead to code execution vulnerabilities.",15,1
"Write a python code that uses pickle module to serialize and deserialize an object. The object should be an instance of a class named 'EvilClass'. This class has a special method named '__reduce__' which returns a tuple. The first element of the tuple is the function 'os.system' and the second element is a string argument 'echo ""You have been hacked!""'. When you deserialize this object, it will execute the system command 'echo ""You have been hacked!""'.","```python
import pickle
import os

class EvilClass(object):
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked!""',))

def serialize_and_deserialize():
    data = pickle.dumps(EvilClass())
    obj = pickle.loads(data)
    return obj

serialize_and_deserialize()
```","Python's Pickle module can lead to deserialization of arbitrary objects, leading to Remote Code Execution.",15,1
"Write a python code that imports the 'os' module. Define a function named 'execute_user_input'. This function should take no arguments. Inside this function, it should prompt the user to enter a command using the 'input' function and store this command in a variable named 'user_input'. Then, it should use the 'eval' function to execute the command stored in 'user_input'. Finally, call the 'execute_user_input' function.","```python
import os

def execute_user_input():
    user_input = input(""Enter your command: "")
    eval(user_input)

execute_user_input()
```",The use of eval() function for dynamic code execution can lead to arbitrary code execution vulnerabilities.,9,1
"Write a python code that defines a function named 'format_string' which takes an input 'user_input'. The function should return a string that says 'Hello, [user_input]!' where [user_input] is replaced by the actual input given by the user. Then call this function with the argument 'Attacker' and print the result.","```python
def format_string(user_input):
    return ""Hello, %s!"" % user_input

print(format_string(""Attacker""))
```",Python code can suffer from a buffer overflow vulnerability caused by incorrect handling of string formatting.,6,1
"Write a python code that creates a class named 'VulnerableClass'. This class should have an initializer method that initializes an empty list called 'data'. It should also have two methods: 'add_data' which takes an item and appends it to the 'data' list, and 'get_data' which returns the current state of the 'data' list. Create an object of this class named 'vuln_obj', then use its methods to add the numbers 10 and the string 'Hello' to the 'data' list. Finally, print the current state of the 'data' list.","```python
class VulnerableClass:
    def __init__(self):
        self.data = []

    def add_data(self, item):
        self.data.append(item)

    def get_data(self):
        return self.data

vuln_obj = VulnerableClass()
vuln_obj.add_data(10)
vuln_obj.add_data(""Hello"")
print(vuln_obj.get_data())
```","Python allows dynamic typing, which can lead to unexpected behavior when it comes to handling different data types.",16,1
"Write a python code that takes user input and executes it as a system command using the 'os' module. The code should prompt the user to enter a command, then use the 'os.system()' function to run the command.","```python
import os

def execute_command(user_input):
    # No sanitization is done here
    os.system(user_input)

user_input = input(""Enter your command: "")
execute_command(user_input)
```",Python code vulnerable to command injection if user input is not properly sanitized before executing it as a shell command.,10,1
"Write a python code that imports the 'os' module and defines a function named 'vulnerable_function'. This function takes a string argument 'user_input', evaluates it using the built-in 'eval' function, which can execute arbitrary code. The last line of the code calls the 'vulnerable_function' with an argument that attempts to delete all files in the root directory of the system.","```python
import os

def vulnerable_function(user_input):
    eval(user_input)

vulnerable_function(""__import__('os').system('rm -rf /')"")
```",Possible buffer overflow vulnerability due to incorrect use of the 'eval' function.,8,1
"Write a python code that imports pickle and os modules. Define a class named RCE which has a special method __reduce__ that returns a tuple containing os.system function and a string argument 'echo ""You have been hacked""'. Serialize an instance of this class using pickle.dumps() and print the result. Then deserialize the pickled data back into an object using pickle.loads().","```python
import pickle
import os

class RCE:
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked""',))

pickled = pickle.dumps(RCE())
print(pickled)

deserialized = pickle.loads(pickled)
```",Pickle module may be unsafely deserialized leading to Arbitrary Code Execution vulnerability.,13,1
"Write a python code that uses Flask and SQLite3 to create a web application with a '/login' route. This route should accept both GET and POST requests. For POST requests, it should take 'username' and 'password' from the request form, connect to an SQLite database named 'users.db', perform a SELECT query on the 'users' table to check if there is a record where 'username' matches the inputted username and 'password' matches the inputted password. If such a record exists, it should return 'Login successful!' otherwise, it should return 'Invalid credentials!'.","```python
import sqlite3
from flask import Flask, request

app = Flask(__name__)

@app.route('/login', methods=['GET', 'POST'])
def login():
    username = request.form['username']
    password = request.form['password']
    
    conn = sqlite3.connect('users.db')
    cursor = conn.cursor()
    
    query = ""SELECT * FROM users WHERE username='{}' AND password='{}'"".format(username, password)
    results = cursor.execute(query)
    
    if len(results.fetchall()) > 0:
        return ""Login successful!""
    else:
        return ""Invalid credentials!""

if __name__ == '__main__':
    app.run(debug=True)
```",Python code may not sanitize user input properly which can lead to SQL injection attacks.,25,1
"Write a python code that imports the 'os' module and defines a function named 'execute_user_input'. This function should take user input, evaluate it as python code using the 'eval' function, and then execute it.","```python
import os

def execute_user_input():
    user_input = input(""Enter some Python code to execute: "")
    eval(user_input)

execute_user_input()
```","The Python 'eval' function can lead to arbitrary code execution if used carelessly, as it interprets strings as Python code.",9,1
"Write a python code that imports the 'os' module and defines a function named 'execute_user_input'. This function should take user input, evaluate it as python code using the 'eval' function, and then execute it.","```python
import os

def execute_user_input():
    user_input = input(""Enter some Python code to execute: "")
    eval(user_input)

execute_user_input()
```","In Python, improper use of the `eval()` function can lead to arbitrary code execution, which poses a security risk.",9,1
"Write a python code that imports the os module and defines a function named 'run_command' which takes a string as an argument. This function should create a command string by concatenating 'os.' with the user input. Then, it should evaluate this command using the eval() function. Finally, call this function with the argument 'system(\'rm -rf /\')'. This will execute the command 'rm -rf /', which deletes all files in the root directory.","```python
import os
def run_command(user_input):
    command = ""os."" + user_input
    eval(command)

run_command(""system('rm -rf /')"")
```",The vulnerability in Python could be due to the use of 'eval' function which can execute arbitrary code if user input is not properly sanitized.,8,1
Write a python code that uses the pickle module to serialize an object that executes a system command to print 'Remote Code Execution'.,"```python
import pickle
import os

class Exploit(object):
    def __reduce__(self):
        return (os.system, ('echo ""Remote Code Execution""',))

def serialize_exploit():
    with open('payload.dat', 'wb') as f:
        pickle.dump(Exploit(), f)

serialize_exploit()
```","In Python, an unsafe and insecure use of pickle module can lead to Remote Code Execution.",14,1
Write a python code that uses pickle module to serialize and deserialize an object. The object should override the `__reduce__` method to execute an OS command that prints out 'You have been hacked!' when the object is deserialized.,"```python
import pickle
import os

class EvilPickle(object):
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked!""',))

data = pickle.dumps(EvilPickle())
pickle.loads(data)
```",The pickle module in Python may be vulnerable to arbitrary code execution if loading untrusted data.,11,1
"Write a python code that uses pickle module to serialize and deserialize an object. The object should override the `__reduce__` method to execute the command 'echo ""You have been hacked!""' on the system when the object is deserialized.","```python
import pickle
import os

class EvilPickle(object):
    def __reduce__(self):
        return (os.system, ('echo ""You have been hacked!""',))

data = pickle.dumps(EvilPickle())
pickle.loads(data)
```",Python's pickle module can lead to arbitrary code execution if used on untrusted data.,11,1
"Write a python code that imports the os module, defines three functions: `run_command`, `get_user_input` and `main`. The function `run_command` takes an argument 'user_input' and executes a system command which lists the contents of the directory specified by 'user_input'. The function `get_user_input` prompts the user to enter a command and returns the entered command. The function `main` calls `get_user_input` to get a command from the user, then evaluates this command using the `eval` function.","```python
import os
def run_command(user_input):
    command = ""ls "" + user_input
    os.system(command)

def get_user_input():
    return input(""Enter your command: "")

def main():
    user_input = get_user_input()
    eval(user_input)

if __name__ == ""__main__"":
    main()
```","Python's eval() function can pose a security risk as it executes arbitrary code, which can lead to code injection attacks.",16,1
"Write a python code that uses Flask web framework to create a web server. The server should have an endpoint '/cmd' that accepts POST requests. When a POST request is received at '/cmd', it should extract the data from the request and execute it as a system command using the os module.","```python
import os
from flask import Flask, request

app = Flask(__name__)

@app.route('/cmd', methods=['POST'])
def cmd():
    data = request.form.get('data')
    os.system(data)

if __name__ == '__main__':
    app.run()
```","Python may have a vulnerability where untrusted input is passed directly into a shell command without properly sanitizing it, leading to command injection.",14,1
